timestamp,reader,antenna,rssi,epc,phase_angle,channel_index,doppler_frequency
1746728209.413753,192.168.0.219:5084,3,-61,b'302832aa8f7309800001f49f',2,23,107
1746728209.259138,192.168.0.219:5084,1,-62,b'303400eda43f628000009f3f',3776,22,273
1746728209.332197,192.168.0.219:5084,2,-48,b'303400eda43f628000009f3f',2308,23,87
1746728209.449174,192.168.0.219:5084,4,-59,b'303400eda43f628000009f3f',2190,23,117
1746728209.257488,192.168.0.219:5084,1,-58,b'30080226abcd014000000000',730,22,107
1746728209.354921,192.168.0.219:5084,2,-64,b'30080226abcd014000000000',3608,23,87
1746728209.236205,192.168.0.219:5084,1,-56,b'e2806995000040182224401d',1376,22,175
1746728209.346947,192.168.0.219:5084,2,-65,b'e2806995000040182224401d',514,23,-87
1746728209.399206,192.168.0.219:5084,3,-49,b'e2806995000040182224401d',3728,23,78
1746728209.465801,192.168.0.219:5084,4,-51,b'e2806995000040182224401d',1510,23,107
1746728209.253757,192.168.0.219:5084,1,-63,b'3034047138105841dcd65592',3172,22,234
1746728209.353835,192.168.0.219:5084,2,-64,b'3034047138105841dcd65592',3106,23,9
